date,open,high,low,close,volume,maturity
11/23/2021,498995.0,499000.0,495003.0,495003.0,109315,20250113
11/24/2021,498494.0,498494.0,490000.0,495948.0,145714,20250113
11/27/2021,497000.0,497000.0,489835.0,492999.0,132596,20250113
11/28/2021,492800.0,492800.0,487990.0,491491.0,206494,20250113
11/29/2021,491100.0,491900.0,486501.0,491900.0,198066,20250113
11/30/2021,487900.0,491398.0,487100.0,490299.0,255302,20250113
12/01/2021,489800.0,492000.0,489797.0,491290.0,143235,20250113
12/04/2021,490999.0,492000.0,490501.0,491013.0,336648,20250113
12/05/2021,491164.0,493000.0,489103.0,490650.0,242898,20250113
12/06/2021,490671.0,493000.0,490503.0,491211.0,443775,20250113
12/07/2021,490250.0,492973.0,490014.0,492973.0,287417,20250113
12/08/2021,492000.0,493000.0,491017.0,492999.0,229812,20250113
12/11/2021,492001.0,499700.0,490501.0,492500.0,550356,20250113
12/12/2021,492022.0,493879.0,491853.0,492500.0,396061,20250113
12/13/2021,491015.0,493340.0,491012.0,492500.0,213423,20250113
12/14/2021,492488.0,494900.0,492488.0,494790.0,241614,20250113
12/15/2021,492901.0,495001.0,492227.0,492581.0,134371,20250113
12/18/2021,492000.0,494300.0,491008.0,493100.0,261275,20250113
12/19/2021,499000.0,499000.0,490549.0,491500.0,247664,20250113
12/20/2021,492445.0,492445.0,490451.0,491900.0,208925,20250113
12/21/2021,492251.0,493000.0,490501.0,491750.0,351755,20250113
12/22/2021,492990.0,500000.0,490510.0,500000.0,171912,20250113
12/25/2021,499990.0,499990.0,494000.0,495010.0,394516,20250113
12/26/2021,496000.0,496000.0,493010.0,495120.0,275105,20250113
12/27/2021,493030.0,494700.0,492650.0,494380.0,257158,20250113
12/28/2021,493010.0,497990.0,493010.0,497900.0,245762,20250113
12/29/2021,497400.0,499440.0,496160.0,499440.0,180085,20250113
01/01/2022,498990.0,501470.0,496210.0,500010.0,432221,20250113
01/02/2022,501000.0,503600.0,500930.0,502150.0,353933,20250113
01/03/2022,500190.0,508880.0,500190.0,507000.0,225770,20250113
01/04/2022,506150.0,508920.0,505030.0,508910.0,240779,20250113
01/05/2022,508910.0,513000.0,508010.0,511800.0,111886,20250113
01/08/2022,512000.0,515000.0,511310.0,513000.0,325773,20250113
01/09/2022,514000.0,515960.0,513260.0,515920.0,207057,20250113
01/10/2022,514740.0,517450.0,514740.0,516670.0,262759,20250113
01/11/2022,516000.0,519990.0,515200.0,519960.0,262337,20250113
01/12/2022,520990.0,520990.0,515130.0,517860.0,25974,20250113
01/15/2022,516020.0,518110.0,510010.0,517870.0,284024,20250113
01/16/2022,517340.0,520890.0,517330.0,519150.0,400309,20250113
01/17/2022,520880.0,522980.0,519100.0,521000.0,320889,20250113
01/18/2022,521510.0,524180.0,520900.0,521900.0,468232,20250113
01/19/2022,521700.0,522000.0,520010.0,522000.0,36970,20250113
01/22/2022,520000.0,522500.0,520000.0,522260.0,295377,20250113
01/23/2022,520660.0,522260.0,520010.0,521000.0,249663,20250113
01/24/2022,519550.0,522260.0,519500.0,520000.0,234268,20250113
01/25/2022,520540.0,522290.0,519210.0,520550.0,370818,20250113
01/26/2022,520600.0,522870.0,520010.0,522810.0,344681,20250113
01/29/2022,522900.0,523790.0,522010.0,523200.0,305417,20250113
01/30/2022,524000.0,525000.0,522010.0,525000.0,261402,20250113
01/31/2022,526300.0,526300.0,523410.0,526290.0,181815,20250113
02/01/2022,525400.0,528880.0,525400.0,528110.0,232526,20250113
02/02/2022,527990.0,530000.0,527550.0,530000.0,298049,20250113
02/05/2022,530010.0,534670.0,530000.0,533100.0,328714,20250113
02/06/2022,531930.0,536870.0,531930.0,536860.0,343703,20250113
02/07/2022,536690.0,538500.0,536000.0,537100.0,326149,20250113
02/08/2022,538600.0,540770.0,537100.0,538500.0,174191,20250113
