date,open,high,low,close,volume
11/23/2021,1408723.87,1408723.87,1403673.85,1404551.66,3461638431
11/24/2021,1404537.09,1404537.09,1394095.45,1394105.72,3957085453
11/27/2021,1390445.06,1390445.06,1366662.33,1366713.91,3697869525
11/28/2021,1367109.71,1369902.93,1367099.62,1368005.19,3179889290
11/29/2021,1368024.25,1369976.25,1363820.15,1363939.01,2695389389
11/30/2021,1363844.63,1363844.63,1357092.36,1357128.91,3258521386
12/01/2021,1356785.46,1356785.46,1340118.2,1340071.91,3366264597
12/04/2021,1341356.07,1342698.36,1333869.09,1334765.92,3223998062
12/05/2021,1335877.18,1343252.74,1335877.18,1343202.66,2778352452
12/06/2021,1343517.26,1345577.49,1342290.99,1342353.56,2755443049
12/07/2021,1341588.31,1341588.31,1337519.68,1338016.01,2343601361
12/08/2021,1338268.8,1349365.55,1338268.8,1349389.26,4037895607
12/11/2021,1350120.8,1350445.77,1344447.39,1344441.58,4801350997
12/12/2021,1342541.11,1342541.11,1320710.42,1320776.73,3811331709
12/13/2021,1319969.47,1319969.47,1295526.83,1295550.11,4333878064
12/14/2021,1293202.59,1293202.59,1288813.37,1291839.41,3951692553
12/15/2021,1292094.49,1296375.48,1292094.49,1293237.91,3667776872
12/18/2021,1295403.28,1305576.92,1295403.28,1305535.47,3997654564
12/19/2021,1306185.95,1306185.95,1291662.76,1291675.77,3514779588
12/20/2021,1292947.54,1301516.81,1292947.54,1301542.25,3795874634
12/21/2021,1302574.52,1318467.69,1302574.52,1318359.67,3377664553
12/22/2021,1321753.11,1359012.48,1321753.11,1359024.49,4385161936
12/25/2021,1367294.23,1387121.44,1367294.23,1385504.62,5998858611
12/26/2021,1384994.55,1384994.55,1379163.42,1383987.9,4587444486
12/27/2021,1386059.14,1401259.99,1386059.14,1400314.63,5415616618
12/28/2021,1399973.01,1399973.01,1397100.97,1399910.85,4498907423
12/29/2021,1400145.13,1400980.09,1397353.84,1397311.44,5378466727
01/01/2022,1396332.96,1396332.96,1378893.29,1378777.36,3940751710
01/02/2022,1378608.36,1380643.61,1378608.36,1379041.05,2964382580
01/03/2022,1379107.47,1380042.86,1376069.38,1376049.34,2981327219
01/04/2022,1375908.3,1375908.3,1362793.77,1362828.62,3298636722
01/05/2022,1362826.73,1363181.56,1362342.0,1363095.81,2724471905
01/08/2022,1363235.14,1367527.73,1362344.39,1362458.01,5180052768
01/09/2022,1362253.57,1362253.57,1336776.29,1336820.72,4201865742
01/10/2022,1335897.66,1335897.66,1330161.35,1332755.64,4465580312
01/11/2022,1333649.93,1338333.06,1333649.93,1334703.54,3973443239
01/12/2022,1334736.44,1335419.66,1334283.16,1334265.0,3356052965
01/15/2022,1334349.22,1334349.22,1322620.53,1322569.8,3774945135
01/16/2022,1322287.02,1322287.02,1310822.02,1310804.45,3208295790
01/17/2022,1311188.89,1314221.52,1306530.98,1306472.13,3746843575
01/18/2022,1305659.87,1305659.87,1275931.63,1275966.43,4504674260
01/19/2022,1275027.35,1279505.92,1274601.93,1279393.9,3436299699
01/22/2022,1285397.2,1286706.69,1281803.07,1281801.02,3521012062
01/23/2022,1280928.38,1280928.38,1256544.26,1256512.82,4622360998
01/24/2022,1255456.44,1255456.44,1234687.81,1234707.73,3361522069
01/25/2022,1233948.62,1233948.62,1207991.16,1207926.66,5442842578
01/26/2022,1213827.71,1229424.0,1213827.71,1229368.42,4489233096
01/29/2022,1233388.32,1258976.69,1233388.32,1258995.09,3360744518
01/30/2022,1267833.73,1284578.4,1267833.73,1284647.38,4845764628
01/31/2022,1285261.83,1294670.46,1285257.48,1294619.06,5534972786
02/01/2022,1297227.2,1301430.6,1297227.2,1301234.01,6739483619
02/02/2022,1301365.06,1301365.06,1299124.85,1301195.67,5578873906
02/05/2022,1304105.75,1306388.15,1304105.75,1304411.12,4554466859
02/06/2022,1303820.59,1303820.59,1281962.34,1282049.95,5468330997
02/07/2022,1278703.38,1278703.38,1274398.52,1274467.48,4522006028
02/08/2022,1275716.75,1281468.61,1275716.75,1281075.43,4433649689
